booth buːð  buːθ
bracket ˈbrækɪt  ˈbrækɪt
broker ˈbrəʊkə(r)  ˈbroʊkər
bulk bʌlk  bʌlk
bundle ˈbʌnd(ə)l  ˈbʌnd(ə)l
cargo ˈkɑːɡəʊ  ˈkɑːrɡoʊ
centigrade ˈseɪliənt  ˈseɪliənt
chase tʃeɪs  tʃeɪs
cherish ˈtʃerɪʃ  ˈtʃerɪʃ
chest tʃest  tʃest
cholesterol kəˈlestərɒl  kəˈlestərɔːl
collective kəˈlektɪv  kəˈlektɪv
compact kəmˈpækt  kəmˈpækt
comply kəmˈplaɪ  kəmˈplaɪ
confine ˈhelət  ˈhelət
consent kənˈsent  kənˈsent
contend kənˈtend  kənˈtend
contention kənˈtenʃ(ə)n  kənˈtenʃ(ə)n
consolidate kənˈsɒlɪdeɪt  kənˈsɑːlɪdeɪt
constitution ˌkɒnstɪˈtjuːʃ(ə)n  ˌkɑːnstɪˈtuːʃn
contempt kənˈtempt  kənˈtempt
controversial ˌkɒntrəˈvɜːʃ(ə)l  ˌkɑːntrəˈvɜːrʃ(ə)l
cracker ˈkrækə(r)  ˈkrækər
criterion kraɪˈtɪəriən  kraɪˈtɪriən
criteria kraɪˈtɪəriə  kraɪˈtɪriə
curb juː  juː
curl kɜːl  kɜːrl
curve kɜːv  kɜːrv
deceive dɪˈsiːv  dɪˈsiːv
deceit dɪˈsiːt  dɪˈsiːt
decisive ˌhetərəʊˈθælɪk  ˌhetərˌoʊˈθælɪk; ˌhetərəˈθælɪk
defy dɪˈfaɪ  dɪˈfaɪ
descend dɪˈsend  dɪˈsend
ascend əˈsend  əˈsend
despair dɪˈspeə(r)  dɪˈsper
developmental dɪˌveləpˈment(ə)l  dɪˌveləpˈmentl
dew djuː  duː
diagnose ˈdaɪəɡnəʊz  ˌdaɪəɡˈnoʊs
snore snɔː(r)  snɔːr
dialect An error occurred: 'ukphone'
dioxide daɪˈɒksaɪd  daɪˈɑːksaɪd
discharge dɪsˈtʃɑːdʒ  dɪsˈtʃɑːrdʒ
disguise dɪsˈɡaɪz  dɪsˈɡaɪz
guise ɡaɪz  ɡaɪz
disintegrate dɪsˈɪntɪɡreɪt  dɪsˈɪntɪɡreɪt
integral ˌen dʌbəl ˌeɪ siː ˈpiː  ˌen dʌbəl ˌeɪ siː ˈpiː
integrate ˈɪntɪɡreɪt  ˈɪntɪɡreɪt
integrity An error occurred: 'ukphone'
integer ˈɪntɪdʒə(r)  ˈɪntɪdʒər
dissolve dɪˈzɒlv  dɪˈzɑːlv
ditch dɪtʃ  dɪtʃ
